internal_model_id,organisation_id,model_name,api_model_id_same_as_internal_exists,suggested_api_model_id
nvidia/nvidia-nemotron-nano-12b-v2,nvidia,Nvidia Nemotron Nano 12B V2,no,nvidia/nvidia-nemotron-nano-12b-v2
nvidia/nvidia-nemotron-nano-9b-v2,nvidia,Nvidia Nemotron Nano 9B V2,no,nvidia/nvidia-nemotron-nano-9b-v2
nvidia/openreasoning-nemotron-1-5b,nvidia,Openreasoning Nemotron 1.5B,no,nvidia/openreasoning-nemotron-1-5b
nvidia/openreasoning-nemotron-14b,nvidia,Openreasoning Nemotron 14B,no,nvidia/openreasoning-nemotron-14b
nvidia/openreasoning-nemotron-32b,nvidia,Openreasoning Nemotron 32B,no,nvidia/openreasoning-nemotron-32b
nvidia/openreasoning-nemotron-7b,nvidia,Openreasoning Nemotron 7B,no,nvidia/openreasoning-nemotron-7b
openai/code-cushman-001,openai,Code Cushman 001,no,openai/code-cushman-001
openai/code-cushman-002,openai,Code Cushman 002,no,openai/code-cushman-002
openai/code-davinci-001,openai,Code Davinci 001,no,openai/code-davinci-001
openai/code-davinci-002,openai,Code Davinci 002,no,openai/code-davinci-002
openai/code-davinci-edit-001,openai,Code Davinci Edit 001,no,openai/code-davinci-edit-001
openai/code-search-ada-code-001,openai,Code Search Ada Code 001,no,openai/code-search-ada-code-001
openai/code-search-ada-text-001,openai,Code Search Ada Text 001,no,openai/code-search-ada-text-001
openai/code-search-babbage-code-001,openai,Code Search Babbage Code 001,no,openai/code-search-babbage-code-001
openai/code-search-babbage-text-001,openai,Code Search Babbage Text 001,no,openai/code-search-babbage-text-001
openai/dall-e-2021-01-05,openai,Dall-E,no,openai/dall-e-2021-01-05
openai/gpt-1-2018-06-11,openai,GPT 1,no,openai/gpt-1-2018-06-11
openai/gpt-2-2019-11-05,openai,GPT 2,no,openai/gpt-2-2019-11-05
openai/gpt-3-2020-06-11,openai,GPT 3,no,openai/gpt-3-2020-06-11
openai/gpt-3-5-turbo-0613,openai,GPT 3.5 Turbo 0613,no,openai/gpt-3-5-turbo-0613
openai/gpt-4-32k,openai,GPT 4 32K,no,openai/gpt-4-32k
openai/gpt-4-32k-0314,openai,GPT 4 32K 0314,no,openai/gpt-4-32k-0314
openai/gpt-4-32k-0613,openai,GPT 4 32K 0613,no,openai/gpt-4-32k-0613
openai/gpt-4-5-2025-02-27,openai,GPT 4.5,no,openai/gpt-4-5-2025-02-27
openai/gpt-4o-mini-transcribe-2025-03-20,openai,GPT 4o Mini Transcribe (2025-03-20),no,openai/gpt-4o-mini-transcribe-2025-03-20
openai/gpt-4o-mini-tts-2025-03-20,openai,GPT 4o Mini TTS (2025-03-20),no,openai/gpt-4o-mini-tts-2025-03-20
openai/gpt-4o-realtime-preview-2024-10-01,openai,GPT 4o Realtime Preview,no,openai/gpt-4o-realtime-preview-2024-10-01
openai/gpt-4o-realtime-preview-2024-12-17,openai,GPT 4o Realtime Preview (2024-12-17),no,openai/gpt-4o-realtime-preview-2024-12-17
openai/gpt-4o-realtime-preview-2025-06-03,openai,GPT 4o Realtime Preview (2025-06-03),no,openai/gpt-4o-realtime-preview-2025-06-03
openai/gpt-4o-transcribe-diarize-2025-10-15,openai,GPT 4o Transcribe Diarize,no,openai/gpt-4o-transcribe-diarize-2025-10-15
openai/gpt-5-1-pro,openai,GPT 5.1 Pro,no,openai/gpt-5-1-pro
openai/gpt-5-2-mini,openai,GPT 5.2 Mini,no,openai/gpt-5-2-mini
openai/gpt-5-3-codex-spark-2026-02-12,openai,GPT 5.3 Codex Spark,no,openai/gpt-5-3-codex-spark-2026-02-12
openai/gpt-5-codex-mini-2025-11-07,openai,GPT 5 Codex Mini,no,openai/gpt-5-codex-mini-2025-11-07
openai/gpt-5-search-api-2025-10-14,openai,GPT 5 Search API,no,openai/gpt-5-search-api-2025-10-14
openai/gpt-audio-mini-2025-12-15,openai,GPT Audio Mini (2025-12-15),no,openai/gpt-audio-mini-2025-12-15
openai/gpt-oss-safeguard-120b-2025-10-29,openai,GPT OSS Safeguard 120b,no,openai/gpt-oss-safeguard-120b-2025-10-29
openai/gpt-oss-safeguard-20b-2025-10-29,openai,GPT OSS Safeguard 20b,no,openai/gpt-oss-safeguard-20b-2025-10-29
openai/gpt-realtime-mini-2025-12-15,openai,GPT Realtime Mini (2025-12-15),no,openai/gpt-realtime-mini-2025-12-15
openai/o1-preview-2024-09-12,openai,o1 preview,no,openai/o1-preview-2024-09-12
openai/o3-preview,openai,o3 Preview,no,openai/o3-preview
openai/sora-1-2024-12-09,openai,Sora 1,no,openai/sora-1-2024-12-09
openai/text-ada-001,openai,Text Ada 001,no,openai/text-ada-001
openai/text-babbage-001,openai,Text Babbage 001,no,openai/text-babbage-001
openai/text-curie-001,openai,Text Curie 001,no,openai/text-curie-001
openai/text-davinci-001,openai,Text Davinci 001,no,openai/text-davinci-001
openai/text-davinci-002,openai,Text Davinci 002,no,openai/text-davinci-002
openai/text-davinci-003,openai,Text Davinci 003,no,openai/text-davinci-003
openai/text-davinci-edit-001,openai,Text Davinci Edit 001,no,openai/text-davinci-edit-001
openai/text-moderation-007,openai,Text Moderation 007,no,openai/text-moderation-007
openai/text-search-ada-doc-001,openai,Text Search Ada Doc 001,no,openai/text-search-ada-doc-001
openai/text-search-ada-query-001,openai,Text Search Ada Query 001,no,openai/text-search-ada-query-001
openai/text-search-babbage-doc-001,openai,Text Search Babbage Doc 001,no,openai/text-search-babbage-doc-001
openai/text-search-babbage-query-001,openai,Text Search Babbage Query 001,no,openai/text-search-babbage-query-001
openai/text-search-curie-doc-001,openai,Text Search Curie Doc 001,no,openai/text-search-curie-doc-001
openai/text-search-curie-query-001,openai,Text Search Curie Query 001,no,openai/text-search-curie-query-001
openai/text-search-davinci-doc-001,openai,Text Search Davinci Doc 001,no,openai/text-search-davinci-doc-001
openai/text-search-davinci-query-001,openai,Text Search Davinci Query 001,no,openai/text-search-davinci-query-001
openai/text-similarity-ada-001,openai,Text Similarity Ada 001,no,openai/text-similarity-ada-001
openai/text-similarity-babbage-001,openai,Text Similarity Babbage 001,no,openai/text-similarity-babbage-001
openai/text-similarity-curie-001,openai,Text Similarity Curie 001,no,openai/text-similarity-curie-001
openai/text-similarity-davinci-001,openai,Text Similarity Davinci 001,no,openai/text-similarity-davinci-001
prime-intellect/intellect-3-1-2026-02-18,prime-intellect,Intellect 3.1,no,prime-intellect/intellect-3-1-2026-02-18
prime-intellect/intellect-3-2025-11-26,prime-intellect,Intellect 3,no,prime-intellect/intellect-3-2025-11-26
qwen/code-qwen-1-5-7b,qwen,Code Qwen 1.5 7B,no,qwen/code-qwen-1-5-7b
qwen/qvq-72b-preview,qwen,QvQ 72B Preview,no,qwen/qvq-72b-preview
qwen/qwen-1-5-0-5b,qwen,Qwen 1.5 0.5B,no,qwen/qwen-1-5-0-5b
qwen/qwen-1-5-1-8b,qwen,Qwen 1.5 1.8B,no,qwen/qwen-1-5-1-8b
qwen/qwen-1-5-110b,qwen,Qwen 1.5 110B,no,qwen/qwen-1-5-110b
qwen/qwen-1-5-14b,qwen,Qwen 1.5 14B,no,qwen/qwen-1-5-14b
qwen/qwen-1-5-32b,qwen,Qwen 1.5 32B,no,qwen/qwen-1-5-32b
qwen/qwen-1-5-4b,qwen,Qwen 1.5 4B,no,qwen/qwen-1-5-4b
qwen/qwen-1-5-72b,qwen,Qwen 1.5 72B,no,qwen/qwen-1-5-72b
qwen/qwen-1-5-7b,qwen,Qwen 1.5 7B,no,qwen/qwen-1-5-7b
qwen/qwen-1-5-moe-a2-7b,qwen,Qwen 1.5 MoE A2.7B,no,qwen/qwen-1-5-moe-a2-7b
qwen/qwen-1-8b,qwen,Qwen 1.8B,no,qwen/qwen-1-8b
qwen/qwen-14b,qwen,Qwen 14B,no,qwen/qwen-14b
qwen/qwen-2-0-5b,qwen,Qwen 2 0.5B,no,qwen/qwen-2-0-5b
qwen/qwen-2-1-5b,qwen,Qwen 2 1.5B,no,qwen/qwen-2-1-5b
qwen/qwen-2-5-0-5b,qwen,Qwen 2.5 0.5B,no,qwen/qwen-2-5-0-5b
qwen/qwen-2-5-coder-0-5b,qwen,Qwen 2.5 Coder 0.5B,no,qwen/qwen-2-5-coder-0-5b
qwen/qwen-2-5-coder-1-5b,qwen,Qwen 2.5 Coder 1.5B,no,qwen/qwen-2-5-coder-1-5b
qwen/qwen-2-5-coder-14b,qwen,Qwen 2.5 Coder 14B,no,qwen/qwen-2-5-coder-14b
qwen/qwen-2-5-coder-32b-instruct,qwen,Qwen 2.5 Coder 32B Instruct,no,qwen/qwen-2-5-coder-32b-instruct
qwen/qwen-2-5-coder-3b,qwen,Qwen 2.5 Coder 3B,no,qwen/qwen-2-5-coder-3b
qwen/qwen-2-5-coder-7b,qwen,Qwen 2.5 Coder 7B,no,qwen/qwen-2-5-coder-7b
qwen/qwen-2-5-math-1-5b,qwen,Qwen 2.5 Math 1.5B,no,qwen/qwen-2-5-math-1-5b
qwen/qwen-2-5-math-72b,qwen,Qwen 2.5 Math 72B,no,qwen/qwen-2-5-math-72b
qwen/qwen-2-5-math-7b,qwen,Qwen 2.5 Math 7B,no,qwen/qwen-2-5-math-7b
qwen/qwen-2-5-math-7b-prm800k,qwen,Qwen 2.5 Math 7B PRM800K,no,qwen/qwen-2-5-math-7b-prm800k
qwen/qwen-2-5-math-prm-72b,qwen,Qwen 2.5 Math PRM 72B,no,qwen/qwen-2-5-math-prm-72b
qwen/qwen-2-5-math-prm-7b,qwen,Qwen 2.5 Math PRM 7B,no,qwen/qwen-2-5-math-prm-7b
qwen/qwen-2-5-math-rm-72b,qwen,Qwen 2.5 Math RM 72B,no,qwen/qwen-2-5-math-rm-72b
qwen/qwen-2-5-omni-3b,qwen,Qwen 2.5 Omni 3B,no,qwen/qwen-2-5-omni-3b
qwen/qwen-2-5-omni-7b,qwen,Qwen 2.5 Omni 7B,no,qwen/qwen-2-5-omni-7b
qwen/qwen-2-5-vl-32b-instruct,qwen,Qwen 2.5 VL 32B Instruct,no,qwen/qwen-2-5-vl-32b-instruct
qwen/qwen-2-5-vl-3b-instruct,qwen,Qwen 2.5 VL 3B Instruct,no,qwen/qwen-2-5-vl-3b-instruct
qwen/qwen-2-5-vl-7b-instruct,qwen,Qwen 2.5 VL 7B Instruct,no,qwen/qwen-2-5-vl-7b-instruct
qwen/qwen-2-72b-instruct,qwen,Qwen 2 72B Instruct,no,qwen/qwen-2-72b-instruct
qwen/qwen-2-7b-instruct,qwen,Qwen 2 7B Instruct,no,qwen/qwen-2-7b-instruct
qwen/qwen-2-audio-7b,qwen,Qwen 2 Audio 7B,no,qwen/qwen-2-audio-7b
qwen/qwen-2-math-1-5b,qwen,Qwen 2 Math 1.5B,no,qwen/qwen-2-math-1-5b
qwen/qwen-2-math-72b,qwen,Qwen 2 Math 72B,no,qwen/qwen-2-math-72b
qwen/qwen-2-math-7b,qwen,Qwen 2 Math 7B,no,qwen/qwen-2-math-7b
qwen/qwen-2-math-rm-72b,qwen,Qwen 2 Math RM 72B,no,qwen/qwen-2-math-rm-72b
qwen/qwen-2-vl-2b,qwen,Qwen 2 VL 2B,no,qwen/qwen-2-vl-2b
qwen/qwen-2-vl-72b,qwen,Qwen 2 VL 72B,no,qwen/qwen-2-vl-72b
qwen/qwen-2-vl-7b,qwen,Qwen 2 VL 7B,no,qwen/qwen-2-vl-7b
qwen/qwen-3-1-7b,qwen,Qwen 3 1.7B,no,qwen/qwen-3-1-7b
qwen/qwen-3-30b-a3b-thinking-2507,qwen,Qwen 3 30B A3B Thinking 2507,no,qwen/qwen-3-30b-a3b-thinking-2507
qwen/qwen-3-4b-instruct-2507,qwen,Qwen 3 4B Instruct 2507,no,qwen/qwen-3-4b-instruct-2507
qwen/qwen-3-4b-saferl,qwen,Qwen 3 4B SafeRL,no,qwen/qwen-3-4b-saferl
qwen/qwen-3-4b-thinking-2507,qwen,Qwen 3 4B Thinking 2507,no,qwen/qwen-3-4b-thinking-2507
qwen/qwen-3-5-0-8b-2026-03-02,qwen,Qwen 3.5 0.8B,no,qwen/qwen-3-5-0-8b-2026-03-02
qwen/qwen-3-5-2b-2026-03-02,qwen,Qwen 3.5 2B,no,qwen/qwen-3-5-2b-2026-03-02
qwen/qwen-3-5-4b-2026-03-02,qwen,Qwen 3.5 4B,no,qwen/qwen-3-5-4b-2026-03-02
qwen/qwen-3-5-9b-2026-03-02,qwen,Qwen 3.5 9B,no,qwen/qwen-3-5-9b-2026-03-02
qwen/qwen-3-8b,qwen,Qwen 3 8B,no,qwen/qwen-3-8b
qwen/qwen-3-a235-a22b-instruct-2507,qwen,Qwen 3 A235 A22B Instruct 2507,no,qwen/qwen-3-a235-a22b-instruct-2507
qwen/qwen-3-asr-0-6b,qwen,Qwen 3 ASR 0.6B,no,qwen/qwen-3-asr-0-6b
qwen/qwen-3-asr-1-7b,qwen,Qwen 3 ASR 1.7B,no,qwen/qwen-3-asr-1-7b
qwen/qwen-3-embedding-0-6b,qwen,Qwen 3 Embedding 0.6B,no,qwen/qwen-3-embedding-0-6b
qwen/qwen-3-embedding-4b,qwen,Qwen 3 Embedding 4B,no,qwen/qwen-3-embedding-4b
qwen/qwen-3-embedding-8b,qwen,Qwen 3 Embedding 8B,no,qwen/qwen-3-embedding-8b
qwen/qwen-3-forcedaligner-0-6b,qwen,Qwen 3 ForcedAligner 0.6B,no,qwen/qwen-3-forcedaligner-0-6b
qwen/qwen-3-guard-gen-0-6b,qwen,Qwen 3 Guard Gen 0.6B,no,qwen/qwen-3-guard-gen-0-6b
qwen/qwen-3-guard-gen-4b,qwen,Qwen 3 Guard Gen 4B,no,qwen/qwen-3-guard-gen-4b
qwen/qwen-3-guard-gen-8b,qwen,Qwen 3 Guard Gen 8B,no,qwen/qwen-3-guard-gen-8b
qwen/qwen-3-guard-stream-0-6b,qwen,Qwen 3 Guard Stream 0.6B,no,qwen/qwen-3-guard-stream-0-6b
qwen/qwen-3-guard-stream-4b,qwen,Qwen 3 Guard Stream 4B,no,qwen/qwen-3-guard-stream-4b
qwen/qwen-3-guard-stream-8b,qwen,Qwen 3 Guard Stream 8B,no,qwen/qwen-3-guard-stream-8b
qwen/qwen-3-omni-30b-a3b-captioner,qwen,Qwen 3 Omni 30B A3B Captioner,no,qwen/qwen-3-omni-30b-a3b-captioner
qwen/qwen-3-omni-flash,qwen,Qwen 3 Omni Flash (2025-09-15),no,qwen/qwen-3-omni-flash
qwen/qwen-3-reranker-0-6b,qwen,Qwen 3 Reranker 0.6B,no,qwen/qwen-3-reranker-0-6b
qwen/qwen-3-reranker-4b,qwen,Qwen 3 Reranker 4B,no,qwen/qwen-3-reranker-4b
qwen/qwen-3-reranker-8b,qwen,Qwen 3 Reranker 8B,no,qwen/qwen-3-reranker-8b
qwen/qwen-3-tts,qwen,Qwen 3 TTS (2025-11-27),no,qwen/qwen-3-tts
qwen/qwen-3-tts-12hz-0-6b-base,qwen,Qwen 3 TTS 12Hz 0.6B Base,no,qwen/qwen-3-tts-12hz-0-6b-base
qwen/qwen-3-tts-12hz-0-6b-customvoice,qwen,Qwen 3 TTS 12Hz 0.6B CustomVoice,no,qwen/qwen-3-tts-12hz-0-6b-customvoice
qwen/qwen-3-tts-12hz-1-7b-base,qwen,Qwen 3 TTS 12Hz 1.7B Base,no,qwen/qwen-3-tts-12hz-1-7b-base
qwen/qwen-3-tts-12hz-1-7b-voicedesign,qwen,Qwen 3 TTS 12Hz 1.7B VoiceDesign,no,qwen/qwen-3-tts-12hz-1-7b-voicedesign
qwen/qwen-3-tts-tokenizer-12hz,qwen,Qwen 3 TTS Tokenizer 12Hz,no,qwen/qwen-3-tts-tokenizer-12hz
qwen/qwen-3-vl-2b-instruct,qwen,Qwen 3 VL 2B Instruct,no,qwen/qwen-3-vl-2b-instruct
qwen/qwen-3-vl-2b-thinking,qwen,Qwen 3 VL 2B Thinking,no,qwen/qwen-3-vl-2b-thinking
qwen/qwen-3-vl-32b-thinking,qwen,Qwen 3 VL 32B Thinking,no,qwen/qwen-3-vl-32b-thinking
qwen/qwen-3-vl-4b-instruct,qwen,Qwen 3 VL 4B Instruct,no,qwen/qwen-3-vl-4b-instruct
qwen/qwen-3-vl-4b-thinking,qwen,Qwen 3 VL 4B Thinking,no,qwen/qwen-3-vl-4b-thinking
qwen/qwen-3-vl-8b-thinking,qwen,Qwen 3 VL 8B Thinking,no,qwen/qwen-3-vl-8b-thinking
qwen/qwen-3-vl-embedding-2b,qwen,Qwen 3 VL Embedding 2B,no,qwen/qwen-3-vl-embedding-2b
qwen/qwen-3-vl-embedding-8b,qwen,Qwen 3 VL Embedding 8B,no,qwen/qwen-3-vl-embedding-8b
qwen/qwen-3-vl-reranker-2b,qwen,Qwen 3 VL Reranker 2B,no,qwen/qwen-3-vl-reranker-2b
qwen/qwen-3-vl-reranker-8b,qwen,Qwen 3 VL Reranker 8B,no,qwen/qwen-3-vl-reranker-8b
qwen/qwen-72b,qwen,Qwen 72B,no,qwen/qwen-72b
qwen/qwen-7b,qwen,Qwen 7B,no,qwen/qwen-7b
qwen/qwen-audio,qwen,Qwen Audio,no,qwen/qwen-audio
qwen/qwen-audio-chat,qwen,Qwen Audio Chat,no,qwen/qwen-audio-chat
qwen/qwen-image,qwen,Qwen Image,yes,qwen/qwen-image
qwen/qwen-image-2512,qwen,Qwen Image 2512,no,qwen/qwen-image-2512
qwen/qwen-image-edit,qwen,Qwen Image Edit,yes,qwen/qwen-image-edit
qwen/qwen-image-edit-2509,qwen,Qwen Image Edit 2509,no,qwen/qwen-image-edit-2509
qwen/qwen-image-edit-2511,qwen,Qwen Image Edit 2511,no,qwen/qwen-image-edit-2511
qwen/qwen-image-layered,qwen,Qwen Image Layered,no,qwen/qwen-image-layered
qwen/qwen-vl,qwen,Qwen VL,no,qwen/qwen-vl
qwen/qwq-32b,qwen,QwQ 32B,no,qwen/qwq-32b
qwen/qwq-32b-preview,qwen,QwQ 32B Preview,no,qwen/qwq-32b-preview
qwen/worldpm-72b,qwen,WorldPM 72B,no,qwen/worldpm-72b
qwen/worldpm-72b-helpsteer2,qwen,WorldPM 72B HelpSteer2,no,qwen/worldpm-72b-helpsteer2
qwen/worldpm-72b-rlhflow,qwen,WorldPM 72B RLHFLow,no,qwen/worldpm-72b-rlhflow
qwen/worldpm-72b-ultrafeedback,qwen,WorldPM 72B UltraFeedback,no,qwen/worldpm-72b-ultrafeedback
relace/relace-search,relace,Relace Search,no,relace/relace-search
sourceful/riverflow-v2-fast-preview,sourceful,Riverflow V2 Fast Preview,no,sourceful/riverflow-v2-fast-preview
sourceful/riverflow-v2-max-preview,sourceful,Riverflow V2 Max Preview,no,sourceful/riverflow-v2-max-preview
sourceful/riverflow-v2-standard-preview,sourceful,Riverflow V2 Standard Preview,no,sourceful/riverflow-v2-standard-preview
suno/suno-v3-5-2024-05-25,suno,Suno V3.5,no,suno/suno-v3-5-2024-05-25
upstage/solar-pro,upstage,Solar Pro (2025-04-22),no,upstage/solar-pro
upstage/solar-pro-2-2025-07-10,upstage,Solar Pro 2 (2025-07-10),no,upstage/solar-pro-2-2025-07-10
upstage/solar-pro-2-2025-09-09,upstage,Solar Pro 2 (2025-09-09),no,upstage/solar-pro-2-2025-09-09
upstage/solar-pro-2-2025-12-15,upstage,Solar Pro 2 (2025-12-15),no,upstage/solar-pro-2-2025-12-15
upstage/solar-pro-2-preview-2025-05-20,upstage,Solar Pro 2 Preview,no,upstage/solar-pro-2-preview-2025-05-20
upstage/solar-pro-3-2026-01-26,upstage,Solar Pro 3 (2026-01-26),no,upstage/solar-pro-3-2026-01-26
vercel/v0-1-0-md,vercel,v0 1.0 md,no,vercel/v0-1-0-md
vercel/v0-1-5-lg,vercel,v0 1.5 lg,no,vercel/v0-1-5-lg
vercel/v0-1-5-md,vercel,v0 1.5 md,no,vercel/v0-1-5-md
vercel/v0-1-5-sm,vercel,v0 1.5 sm,no,vercel/v0-1-5-sm
x-ai/grok-0,x-ai,Grok 0,no,x-ai/grok-0
x-ai/grok-1,x-ai,Grok 1,no,x-ai/grok-1
x-ai/grok-1-5-2024-03-28,x-ai,Grok 1.5,no,x-ai/grok-1-5-2024-03-28
x-ai/grok-1-5v-2024-04-12,x-ai,Grok 1.5V,no,x-ai/grok-1-5v-2024-04-12
x-ai/grok-2-2024-08-13,x-ai,Grok 2,no,x-ai/grok-2-2024-08-13
x-ai/grok-2-mini-2024-08-13,x-ai,Grok 2 Mini,no,x-ai/grok-2-mini-2024-08-13
x-ai/grok-3-beta-2025-02-19,x-ai,Grok 3 Beta,no,x-ai/grok-3-beta-2025-02-19
x-ai/grok-3-mini-beta-2025-02-19,x-ai,Grok 3 Mini Beta,no,x-ai/grok-3-mini-beta-2025-02-19
x-ai/grok-4-fast-reasoning-2025-09-20,x-ai,Grok 4 Fast Reasoning,no,x-ai/grok-4-fast-reasoning-2025-09-20
x-ai/grok-4-heavy-2025-07-10,x-ai,Grok 4 Heavy,no,x-ai/grok-4-heavy-2025-07-10
z-ai/glm-4-1v-9b-2025-07-02,z-ai,GLM 4.1V 9B,no,z-ai/glm-4-1v-9b-2025-07-02
z-ai/glm-4-1v-thinking-9b-2025-07-02,z-ai,GLM 4.1V Thinking 9B,no,z-ai/glm-4-1v-thinking-9b-2025-07-02
z-ai/glm-4-9b-2024-06-04,z-ai,GLM 4 9B,no,z-ai/glm-4-9b-2024-06-04
z-ai/glm-4-9b-2025-04-14,z-ai,GLM 4 9B,no,z-ai/glm-4-9b-2025-04-14
z-ai/glm-4-9b-chat-1m-2024-10-24,z-ai,GLM 4 9B Chat 1M,no,z-ai/glm-4-9b-chat-1m-2024-10-24
z-ai/glm-4-9b-chat-2024-06-04,z-ai,GLM 4 9B Chat,no,z-ai/glm-4-9b-chat-2024-06-04
z-ai/glm-4v-9b,z-ai,GLM 4V 9B,no,z-ai/glm-4v-9b
z-ai/glm-image-2026-01-14,z-ai,GLM Image,no,z-ai/glm-image-2026-01-14
